            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443392.500000000, A.D. 1977-Sep-06 00:00:00.0000,  1.450115405548445E+08, -4.321522489945858E+07, -1.060511781397089E+04,  7.947607035275121E+00,  2.846488051085687E+01,  1.555867535104838E-03,
2443393.500000000, A.D. 1977-Sep-07 00:00:00.0000,  1.456772912957239E+08, -4.074971618495033E+07, -1.047984502756037E+04,  7.462771308284732E+00,  2.860573385737622E+01,  1.340639858559811E-03,
2443394.500000000, A.D. 1977-Sep-08 00:00:00.0000,  1.463010195471389E+08, -3.827238888604196E+07, -1.037391434185952E+04,  6.974884207382197E+00,  2.873843437357561E+01,  1.109499904405453E-03,
2443395.500000000, A.D. 1977-Sep-09 00:00:00.0000,  1.468824670193306E+08, -3.578395383034696E+07, -1.028833265832439E+04,  6.484071652587869E+00,  2.886283239340361E+01,  8.711349285164260E-04,
2443396.500000000, A.D. 1977-Sep-10 00:00:00.0000,  1.474213869206782E+08, -3.328513505776649E+07, -1.022330793895014E+04,  5.990474823819696E+00,  2.897877152428679E+01,  6.353942733632323E-04,
2443397.500000000, A.D. 1977-Sep-11 00:00:00.0000,  1.479175455517846E+08, -3.077667041521629E+07, -1.017814075131901E+04,  5.494256873131431E+00,  2.908608888410132E+01,  4.134354163838339E-04,
2443398.500000000, A.D. 1977-Sep-12 00:00:00.0000,  1.483707245437198E+08, -2.825931196720203E+07, -1.015111604797468E+04,  4.995610836176968E+00,  2.918461935293109E+01,  2.175452132195943E-04,
2443399.500000000, A.D. 1977-Sep-13 00:00:00.0000,  1.487807237546284E+08, -2.573382582725383E+07, -1.013942976771854E+04,  4.494766506538125E+00,  2.927420480412217E+01,  6.049429123144989E-05,
2443400.500000000, A.D. 1977-Sep-14 00:00:00.0000,  1.491473646082429E+08, -2.320099098288378E+07, -1.013919355277903E+04,  3.991993262844904E+00,  2.935470795984222E+01, -4.562022546394928E-05,
2443401.500000000, A.D. 1977-Sep-15 00:00:00.0000,  1.494704933957562E+08, -2.066159679968806E+07, -1.014555751103256E+04,  3.487596010843093E+00,  2.942602855254421E+01, -9.091021256502074E-05,
2443402.500000000, A.D. 1977-Sep-16 00:00:00.0000,  1.497499838777756E+08, -1.811643917262576E+07, -1.015297062197886E+04,  2.981903055830017E+00,  2.948811770962298E+01, -6.927871058159951E-05,
2443403.500000000, A.D. 1977-Sep-17 00:00:00.0000,  1.499857385369291E+08, -1.556631567388333E+07, -1.015556425858103E+04,  2.475247507849042E+00,  2.954098614233935E+01,  2.038322087294375E-05,
2443404.500000000, A.D. 1977-Sep-18 00:00:00.0000,  1.501776880872866E+08, -1.301202036805975E+07, -1.014760935594607E+04,  1.967946343105326E+00,  2.958470344536713E+01,  1.737281539604396E-04,
2443405.500000000, A.D. 1977-Sep-19 00:00:00.0000,  1.503257892503315E+08, -1.045433907126841E+07, -1.012397813498508E+04,  1.460281957349018E+00,  2.961938882958350E+01,  3.813067571645234E-04,
2443406.500000000, A.D. 1977-Sep-20 00:00:00.0000,  1.504300211751972E+08, -7.894045683081403E+06, -1.008054500606237E+04,  9.524895917048861E-01,  2.964519616001190E+01,  6.295768727220263E-04,
2443407.500000000, A.D. 1977-Sep-21 00:00:00.0000,  1.504903810672631E+08, -5.331899924555124E+06, -1.001448270018608E+04,  4.447515376566591E-01,  2.966229693677316E+01,  9.022684442197004E-04,
2443408.500000000, A.D. 1977-Sep-22 00:00:00.0000,  1.505068795771421E+08, -2.768646532227487E+06, -9.924435047203442E+03, -6.280286540917682E-02,  2.967086393900106E+01,  1.181838575961436E-03,
2443409.500000000, A.D. 1977-Sep-23 00:00:00.0000,  1.504795363841214E+08, -2.050157867728375E+05, -9.810565975882288E+03, -5.700929573637223E-01,  2.967105679362115E+01,  1.450866248779548E-03,
2443410.500000000, A.D. 1977-Sep-24 00:00:00.0000,  1.504083762935081E+08,  2.358274808847212E+06, -9.674492913454538E+03, -1.077079248089118E+00,  2.966300983411541E+01,  1.693327284556290E-03,
2443411.500000000, A.D. 1977-Sep-25 00:00:00.0000,  1.502934261051948E+08,  4.920517912634870E+06, -9.519116698033875E+03, -1.583753127328784E+00,  2.964682260978727E+01,  1.895704975611423E-03,
2443412.500000000, A.D. 1977-Sep-26 00:00:00.0000,  1.501347124765783E+08,  7.481013049069502E+06, -9.348365510418545E+03, -2.090124254052307E+00,  2.962255385680267E+01,  2.047851663430578E-03,
2443413.500000000, A.D. 1977-Sep-27 00:00:00.0000,  1.499322609383327E+08,  1.003906297982267E+07, -9.166879332698416E+03, -2.596206738086435E+00,  2.959021992036529E+01,  2.143484546206054E-03,
2443414.500000000, A.D. 1977-Sep-28 00:00:00.0000,  1.496860960902086E+08,  1.259397014992124E+07, -8.979670782495290E+03, -3.102006001381826E+00,  2.954979806819944E+01,  2.180228622497893E-03,
2443415.500000000, A.D. 1977-Sep-29 00:00:00.0000,  1.493962428254610E+08,  1.514503361107882E+07, -8.791801935588010E+03, -3.607508431012289E+00,  2.950123400362310E+01,  2.159214923901587E-03,
2443416.500000000, A.D. 1977-Sep-30 00:00:00.0000,  1.490627282711485E+08,  1.769154671380165E+07, -8.608111027671024E+03, -4.112675312655641E+00,  2.944445178465542E+01,  2.084356040088053E-03,
2443417.500000000, A.D. 1977-Oct-01 00:00:00.0000,  1.486855840523690E+08,  2.023279567864776E+07, -8.433008799917065E+03, -4.617441340717471E+00,  2.937936388276539E+01,  1.961493105852696E-03,
2443418.500000000, A.D. 1977-Oct-02 00:00:00.0000,  1.482648485156400E+08,  2.276805896999301E+07, -8.270346929198131E+03, -5.121716833045031E+00,  2.930587943721584E+01,  1.797609196025007E-03,
2443419.500000000, A.D. 1977-Oct-03 00:00:00.0000,  1.478005686557981E+08,  2.529660726147597E+07, -8.123346293600276E+03, -5.625392095428970E+00,  2.922390958952094E+01,  1.600247569106372E-03,
2443420.500000000, A.D. 1977-Oct-04 00:00:00.0000,  1.472928016334443E+08,  2.781770372536553E+07, -7.994564163016155E+03, -6.128342273159457E+00,  2.913336967419367E+01,  1.377196581342943E-03,
2443421.500000000, A.D. 1977-Oct-05 00:00:00.0000,  1.467416159038165E+08,  3.033060438943513E+07, -7.885877041134983E+03, -6.630431292673194E+00,  2.903417870267018E+01,  1.136437574299265E-03,
2443422.500000000, A.D. 1977-Oct-06 00:00:00.0000,  1.461470920824994E+08,  3.283455836094578E+07, -7.798458240512758E+03, -7.131513870848431E+00,  2.892625696140188E+01,  8.863083528147797E-04,
2443423.500000000, A.D. 1977-Oct-07 00:00:00.0000,  1.455093237470417E+08,  3.532880779881142E+07, -7.732734678149223E+03, -7.631434897529963E+00,  2.880952277839870E+01,  6.358057494679770E-04,
2443424.500000000, A.D. 1977-Oct-08 00:00:00.0000,  1.448284184209522E+08,  3.781258761619665E+07, -7.688315207218751E+03, -8.130025793104950E+00,  2.868388975922436E+01,  3.949212773619593E-04,
2443425.500000000, A.D. 1977-Oct-09 00:00:00.0000,  1.441044990041392E+08,  4.028512502233330E+07, -7.663893640119582E+03, -8.627097874520491E+00,  2.854926613431607E+01,  1.748626907769335E-04,
2443426.500000000, A.D. 1977-Oct-10 00:00:00.0000,  1.433377058794383E+08,  4.274563916918582E+07, -7.657144453313202E+03, -9.122433576325470E+00,  2.840555817849659E+01, -1.203434161212158E-05,
2443427.500000000, A.D. 1977-Oct-11 00:00:00.0000,  1.425281997972501E+08,  4.519334133853567E+07, -7.664647475630045E+03, -9.615777719592344E+00,  2.825267955458841E+01, -1.529238297557356E-04,
2443428.500000000, A.D. 1977-Oct-12 00:00:00.0000,  1.416761653804997E+08,  4.762743622412793E+07, -7.681894904982299E+03, -1.010683263675701E+01,  2.809056725238434E+01, -2.357503498995328E-04,
2443429.500000000, A.D. 1977-Oct-13 00:00:00.0000,  1.407818147145090E+08,  5.004712481596964E+07, -7.703439094077796E+03, -1.059526183822540E+01,  2.791920210587624E+01, -2.511691567814722E-04,
2443430.500000000, A.D. 1977-Oct-14 00:00:00.0000,  1.398453901200143E+08,  5.245160906609907E+07, -7.723219364836812E+03, -1.108070552476006E+01,  2.773862831483492E+01, -1.946699829442622E-04,
2443431.500000000, A.D. 1977-Oct-15 00:00:00.0000,  1.388671650918145E+08,  5.484009791838301E+07, -7.735055735718459E+03, -1.156280687489471E+01,  2.754896420280939E+01, -6.818502336081167E-05,
2443432.500000000, A.D. 1977-Oct-16 00:00:00.0000,  1.378474427249044E+08,  5.721181365611946E+07, -7.733232950862497E+03, -1.204124240945012E+01,  2.735039821603067E+01,  1.195195612435640E-04,
2443433.500000000, A.D. 1977-Oct-17 00:00:00.0000,  1.367865516905462E+08,  5.956599723685117E+07, -7.713054497994483E+03, -1.251574675608588E+01,  2.714317006143680E+01,  3.539172520365952E-04,
2443434.500000000, A.D. 1977-Oct-18 00:00:00.0000,  1.356848405979215E+08,  6.190191156755541E+07, -7.671252478282899E+03, -1.298612449361488E+01,  2.692754332947106E+01,  6.168749479460445E-04,
2443435.500000000, A.D. 1977-Oct-19 00:00:00.0000,  1.345426719570688E+08,  6.421884237101363E+07, -7.606192029692233E+03, -1.345224788136518E+01,  2.670377852740853E+01,  8.891200166711855E-04,
2443436.500000000, A.D. 1977-Oct-20 00:00:00.0000,  1.333604168056938E+08,  6.651609699193494E+07, -7.517875069558620E+03, -1.391404475169205E+01,  2.647211307054200E+01,  1.152330245453470E-03,
2443437.500000000, A.D. 1977-Oct-21 00:00:00.0000,  1.321384505860226E+08,  6.879300185963529E+07, -7.407792804550380E+03, -1.437148263724854E+01,  2.623275014568101E+01,  1.390525088874384E-03,
2443438.500000000, A.D. 1977-Oct-22 00:00:00.0000,  1.308771503823199E+08,  7.104889931945212E+07, -7.278687861751765E+03, -1.482455368573165E+01,  2.598585478761959E+01,  1.590793016564618E-03,
2443439.500000000, A.D. 1977-Oct-23 00:00:00.0000,  1.295768933498168E+08,  7.328314433366992E+07, -7.134275005254894E+03, -1.527326228813179E+01,  2.573155432136873E+01,  1.743560863040727E-03,
2443440.500000000, A.D. 1977-Oct-24 00:00:00.0000,  1.282380560920638E+08,  7.549510132398593E+07, -6.978950849033892E+03, -1.571761539545721E+01,  2.546994091793783E+01,  1.842606506313516E-03,
2443441.500000000, A.D. 1977-Oct-25 00:00:00.0000,  1.268610147856499E+08,  7.768414128337169E+07, -6.817509085290134E+03, -1.615761477341401E+01,  2.520107518558193E+01,  1.884929654851319E-03,
2443442.500000000, A.D. 1977-Oct-26 00:00:00.0000,  1.254461459123969E+08,  7.984963923417932E+07, -6.654871670950204E+03, -1.659325063446350E+01,  2.492499060362722E+01,  1.870512096065369E-03,
2443443.500000000, A.D. 1977-Oct-27 00:00:00.0000,  1.239938274852592E+08,  8.199097210921849E+07, -6.495845724113286E+03, -1.702449661367272E+01,  2.464169888728859E+01,  1.801960805428493E-03,
2443444.500000000, A.D. 1977-Oct-28 00:00:00.0000,  1.225044406382152E+08,  8.410751713332261E+07, -6.344916307114065E+03, -1.745130643853589E+01,  2.435119615283259E+01,  1.684037382183590E-03,
2443445.500000000, A.D. 1977-Oct-29 00:00:00.0000,  1.209783714169345E+08,  8.619865075408120E+07, -6.206083491627127E+03, -1.787361265179268E+01,  2.405346934328589E+01,  1.523113431792567E-03,
2443446.500000000, A.D. 1977-Oct-30 00:00:00.0000,  1.194160125884003E+08,  8.826374810971902E+07, -6.082747127391398E+03, -1.829132741630698E+01,  2.374850209021341E+01,  1.326624819315114E-03,
2443447.500000000, A.D. 1977-Oct-31 00:00:00.0000,  1.178177653051067E+08,  9.030218294895171E+07, -5.977635783392936E+03, -1.870434496743877E+01,  2.343627919501716E+01,  1.102608196044130E-03,
2443448.500000000, A.D. 1977-Nov-01 00:00:00.0000,  1.161840405144700E+08,  9.231332785765511E+07, -5.892769644804299E+03, -1.911254490227181E+01,  2.311678919332602E+01,  8.593872778881462E-04,
2443449.500000000, A.D. 1977-Nov-02 00:00:00.0000,  1.145152600831663E+08,  9.429655461837958E+07, -5.829442666672170E+03, -1.951579532202696E+01,  2.279002488173284E+01,  6.054434175908341E-04,
2443450.500000000, A.D. 1977-Nov-03 00:00:00.0000,  1.128118576914758E+08,  9.625123453663850E+07, -5.788207928545773E+03, -1.991395486113681E+01,  2.245598210346558E+01,  3.494673482684618E-04,
2443451.500000000, A.D. 1977-Nov-04 00:00:00.0000,  1.110742796311067E+08,  9.817673860978857E+07, -5.768851976118982E+03, -2.030687276768332E+01,  2.211465745940575E+01,  1.005528791484522E-04,
2443452.500000000, A.D. 1977-Nov-05 00:00:00.0000,  1.093029857040147E+08,  1.000724374874008E+08, -5.770348894722760E+03, -2.069438640103189E+01,  2.176604597540576E+01, -1.315437860958113E-04,
2443453.500000000, A.D. 1977-Nov-06 00:00:00.0000,  1.074984504615751E+08,  1.019377012790890E+08, -5.790793348193169E+03, -2.107631584696350E+01,  2.141014018821362E+01, -3.362013816738951E-04,
2443454.500000000, A.D. 1977-Nov-07 00:00:00.0000,  1.056611650239502E+08,  1.037718994131247E+08, -5.827324827626348E+03, -2.145245601640924E+01,  2.104693259583178E+01, -5.019679842925839E-04,
2443455.500000000, A.D. 1977-Nov-08 00:00:00.0000,  1.037916396385182E+08,  1.055744009322851E+08, -5.876073412992060E+03, -2.182256785220969E+01,  2.067642368761883E+01, -6.170659501325559E-04,
2443456.500000000, A.D. 1977-Nov-09 00:00:00.0000,  1.018904069172668E+08,  1.073445757882676E+08, -5.932177895471454E+03, -2.218637217014982E+01,  2.029863716686341E+01, -6.705919892286971E-04,
2443457.500000000, A.D. 1977-Nov-10 00:00:00.0000,  9.995802530269434E+07,  1.090817977484751E+08, -5.989940849095583E+03, -2.254355151890819E+01,  1.991364161213460E+01, -6.544715651122246E-04,
2443458.500000000, A.D. 1977-Nov-11 00:00:00.0000,  9.799508182516311E+07,  1.107854492864370E+08, -6.043175200819969E+03, -2.289376542246340E+01,  1.952157345495598E+01, -5.658408788402625E-04,
2443459.500000000, A.D. 1977-Nov-12 00:00:00.0000,  9.600219289383499E+07,  1.124549281785455E+08, -6.085747110635042E+03, -2.323668027973534E+01,  1.912265167087212E+01, -4.090389063726718E-04,
2443460.500000000, A.D. 1977-Nov-13 00:00:00.0000,  9.398000208057775E+07,  1.140896546383822E+08, -6.112236245378852E+03, -2.357200723596523E+01,  1.871717422007173E+01, -1.961740528368949E-04,
2443461.500000000, A.D. 1977-Nov-14 00:00:00.0000,  9.192917476694129E+07,  1.156890772039504E+08, -6.118558890350163E+03, -2.389953441166847E+01,  1.830549312316174E+01,  5.432755070611250E-05,
2443462.500000000, A.D. 1977-Nov-15 00:00:00.0000,  8.985039073907001E+07,  1.172526757957323E+08, -6.102388838902116E+03, -2.421914061380403E+01,  1.788797602355202E+01,  3.208000557943791E-04,
2443463.500000000, A.D. 1977-Nov-16 00:00:00.0000,  8.774433657030109E+07,  1.187799613917992E+08, -6.063284122452140E+03, -2.453078693428840E+01,  1.746496880747597E+01,  5.818399239352345E-04,
2443464.500000000, A.D. 1977-Nov-17 00:00:00.0000,  8.561169945716274E+07,  1.202704729752560E+08, -6.002538469240069E+03, -2.483449330665450E+01,  1.703677117236861E+01,  8.190164286414614E-04,
2443465.500000000, A.D. 1977-Nov-18 00:00:00.0000,  8.345316331628339E+07,  1.217237730795074E+08, -5.922855676203966E+03, -2.513031144833223E+01,  1.660362839822645E+01,  1.018235180016980E-03,
2443466.500000000, A.D. 1977-Nov-19 00:00:00.0000,  8.126940704581231E+07,  1.231394431903254E+08, -5.827960428163409E+03, -2.541830278860785E+01,  1.616573522215945E+01,  1.169914547241468E-03,
2443467.500000000, A.D. 1977-Nov-20 00:00:00.0000,  7.906110434983805E+07,  1.245170797697032E+08, -5.722227370560169E+03, -2.569852444822173E+01,  1.572324531934789E+01,  1.268476173430066E-03,
2443468.500000000, A.D. 1977-Nov-21 00:00:00.0000,  7.682892445580998E+07,  1.258562911495797E+08, -5.610366250351071E+03, -2.597102220840447E+01,  1.527628133162680E+01,  1.311620754071541E-03,
2443469.500000000, A.D. 1977-Nov-22 00:00:00.0000,  7.457353323129308E+07,  1.271566952185062E+08, -5.497168131813407E+03, -2.623582784239247E+01,  1.482494298473762E+01,  1.299667652629566E-03,
2443470.500000000, A.D. 1977-Nov-23 00:00:00.0000,  7.229559443236905E+07,  1.284179177071533E+08, -5.387302048482001E+03, -2.649295840485871E+01,  1.436931288074950E+01,  1.235051408771781E-03,
2443471.500000000, A.D. 1977-Nov-24 00:00:00.0000,  6.999577098583922E+07,  1.296395908948375E+08, -5.285148879975080E+03, -2.674241599648188E+01,  1.390946059572887E+01,  1.121954739192077E-03,
2443472.500000000, A.D. 1977-Nov-25 00:00:00.0000,  6.767472629401593E+07,  1.308213526285186E+08, -5.194663276381791E+03, -2.698418744761856E+01,  1.344544594954876E+01,  9.660152310422276E-04,
2443473.500000000, A.D. 1977-Nov-26 00:00:00.0000,  6.533312556901895E+07,  1.319628456127021E+08, -5.119259874664247E+03, -2.721824399752957E+01,  1.297732207927851E+01,  7.740490325751637E-04,
2443474.500000000, A.D. 1977-Nov-27 00:00:00.0000,  6.297163718282676E+07,  1.330637169655741E+08, -5.061723720356822E+03, -2.744454131131917E+01,  1.250513852772679E+01,  5.537655898253391E-04,
2443475.500000000, A.D. 1977-Nov-28 00:00:00.0000,  6.059093399022830E+07,  1.341236180373392E+08, -5.024145499773324E+03, -2.766302011971338E+01,  1.202894417042940E+01,  3.134826897932541E-04,
2443476.500000000, A.D. 1977-Nov-29 00:00:00.0000,  5.819169456774773E+07,  1.351422044606195E+08, -5.007880203485489E+03, -2.787360749943094E+01,  1.154878958906104E+01,  6.187584213535047E-05,
2443477.500000000, A.D. 1977-Nov-30 00:00:00.0000,  5.577460432447388E+07,  1.361191363677536E+08, -5.013524488955736E+03, -2.807621847957933E+01,  1.106472851049519E+01, -1.921978079018061E-04,
2443478.500000000, A.D. 1977-Dec-01 00:00:00.0000,  5.334035648040443E+07,  1.370540786849181E+08, -5.040904972612858E+03, -2.827075738839531E+01,  1.057681814417229E+01, -4.397737831665083E-04,
2443479.500000000, A.D. 1977-Dec-02 00:00:00.0000,  5.088965296547021E+07,  1.379467014128638E+08, -5.089068436846137E+03, -2.845711821971486E+01,  1.008511859864590E+01, -6.717532774955792E-04,
2443480.500000000, A.D. 1977-Dec-03 00:00:00.0000,  4.842320535463092E+07,  1.387966798375990E+08, -5.156266553789377E+03, -2.863518332826385E+01,  9.589691982485364E+00, -8.788132099719626E-04,
2443481.500000000, A.D. 1977-Dec-04 00:00:00.0000,  4.594173600604374E+07,  1.396036946868266E+08, -5.239932975433767E+03, -2.880481998765856E+01,  9.090602269288816E+00, -1.051337833960275E-03,
2443482.500000000, A.D. 1977-Dec-05 00:00:00.0000,  4.344597958998412E+07,  1.403674323627438E+08, -5.336660215996206E+03, -2.896587485976808E+01,  8.587917501588697E+00, -1.179510014021723E-03,
2443483.500000000, A.D. 1977-Dec-06 00:00:00.0000,  4.093668515363103E+07,  1.410875855357425E+08, -5.442198011890054E+03, -2.911816740681520E+01,  8.081716275920583E+00, -1.253751991471486E-03,
2443484.500000000, A.D. 1977-Dec-07 00:00:00.0000,  3.841461871328901E+07,  1.417638545494660E+08, -5.551512367203832E+03, -2.926148486862376E+01,  7.572100257441683E+00, -1.265720357424005E-03,
2443485.500000000, A.D. 1977-Dec-08 00:00:00.0000,  3.588056605545843E+07,  1.423959501851340E+08, -5.658959183521569E+03, -2.939558335023577E+01,  7.059212931708825E+00, -1.209964233562566E-03,
2443486.500000000, A.D. 1977-Dec-09 00:00:00.0000,  3.333533497869206E+07,  1.429835982110510E+08, -5.758624744668603E+03, -2.952020054943791E+01,  6.543261206849539E+00, -1.086062479958017E-03,
2443487.500000000, A.D. 1977-Dec-10 00:00:00.0000,  3.077975579666764E+07,  1.435265456375342E+08, -5.844849544510245E+03, -2.963508337079272E+01,  6.024531515947533E+00, -9.005780758903903E-04,
2443488.500000000, A.D. 1977-Dec-11 00:00:00.0000,  2.821467891711077E+07,  1.440245677194549E+08, -5.912875634051859E+03, -2.974002655445904E+01,  5.503389233517645E+00, -6.677784845527945E-04,
2443489.500000000, A.D. 1977-Dec-12 00:00:00.0000,  2.564096905133124E+07,  1.444774739017413E+08, -5.959469130381942E+03, -2.983490926994170E+01,  4.980254460645877E+00, -4.082560796478951E-04,
2443490.500000000, A.D. 1977-Dec-13 00:00:00.0000,  2.305949695703994E+07,  1.448851107795669E+08, -5.983331772856414E+03, -2.991971318697551E+01,  4.455559107618922E+00, -1.455474904743514E-04,
2443491.500000000, A.D. 1977-Dec-14 00:00:00.0000,  2.047113077795529E+07,  1.452473611108066E+08, -5.985176257267594E+03, -2.999451349900414E+01,  3.929701647108975E+00,  9.799315081848725E-05,
2443492.500000000, A.D. 1977-Dec-15 00:00:00.0000,  1.787672916183851E+07,  1.455641394663799E+08, -5.967472541332245E+03, -3.005944879992672E+01,  3.403016788528584E+00,  3.044459288032986E-04,
2443493.500000000, A.D. 1977-Dec-16 00:00:00.0000,  1.527713735990272E+07,  1.458353862083941E+08, -5.933988187685609E+03, -3.011468486897704E+01,  2.875767183657027E+00,  4.617794998715841E-04,
2443494.500000000, A.D. 1977-Dec-17 00:00:00.0000,  1.267318621323077E+07,  1.460610615679604E+08, -5.889279084905982E+03, -3.016038567548853E+01,  2.348152586323172E+00,  5.636382847920007E-04,
2443495.500000000, A.D. 1977-Dec-18 00:00:00.0000,  1.006569311017936E+07,  1.462411409196323E+08, -5.838244698181748E+03, -3.019669695240419E+01,  1.820326760614845E+00,  6.081994590619866E-04,
2443496.500000000, A.D. 1977-Dec-19 00:00:00.0000,  7.455463860528309E+06,  1.463756115455639E+08, -5.785794822722673E+03, -3.022374078281059E+01,  1.292414041384290E+00,  5.968357422931336E-04,
2443497.500000000, A.D. 1977-Dec-20 00:00:00.0000,  4.843294717179828E+06,  1.464644706585683E+08, -5.736623470626771E+03, -3.024161683170042E+01,  7.645215856563958E-01,  5.330167597066282E-04,
2443498.500000000, A.D. 1977-Dec-21 00:00:00.0000,  2.229974155704464E+06,  1.465077242679807E+08, -5.695061752893031E+03, -3.025040615184637E+01,  2.367467216320110E-01,  4.215825918031380E-04,
2443499.500000000, A.D. 1977-Dec-22 00:00:00.0000, -3.837156864454655E+05,  1.465053865056366E+08, -5.664978657796979E+03, -3.025017494859352E+01, -2.908195004707796E-01,  2.683460254300774E-04,
2443500.500000000, A.D. 1977-Dec-23 00:00:00.0000, -2.996997846592616E+06,  1.464574791505386E+08, -5.649705907322466E+03, -3.024097709492781E+01, -8.180910055445638E-01,  7.991294069181754E-05,
2443501.500000000, A.D. 1977-Dec-24 00:00:00.0000, -5.609099525912578E+06,  1.463640312194742E+08, -5.651973077543080E+03, -3.022285516357681E+01, -1.344986273964160E+00, -1.363930278225900E-04,
2443502.500000000, A.D. 1977-Dec-25 00:00:00.0000, -8.219251114125335E+06,  1.462250785914637E+08, -5.673848026834428E+03, -3.019584030205258E+01, -1.871427859602200E+00, -3.725898899934466E-04,
2443503.500000000, A.D. 1977-Dec-26 00:00:00.0000, -1.082668517351479E+07,  1.460406636954171E+08, -5.716683786630630E+03, -3.015995151656850E+01, -2.397341366480038E+00, -6.201330354123069E-04,
2443504.500000000, A.D. 1977-Dec-27 00:00:00.0000, -1.343063535615482E+07,  1.458108353129349E+08, -5.781075966522098E+03, -3.011519492340578E+01, -2.922653827390735E+00, -8.700625901025827E-04,
2443505.500000000, A.D. 1977-Dec-28 00:00:00.0000, -1.603033526903633E+07,  1.455356485388200E+08, -5.866834663860500E+03, -3.006156332731203E+01, -3.447291732317143E+00, -1.113187446758701E-03,
2443506.500000000, A.D. 1977-Dec-29 00:00:00.0000, -1.862501731973879E+07,  1.452151649137930E+08, -5.972972757600248E+03, -2.999903617167273E+01, -3.971179073160533E+00, -1.340274980680345E-03,
2443507.500000000, A.D. 1977-Dec-30 00:00:00.0000, -2.121391156483794E+07,  1.448494527151213E+08, -6.097709784157574E+03, -2.992757958277432E+01, -4.494235666842571E+00, -1.542218782888183E-03,
2443508.500000000, A.D. 1977-Dec-31 00:00:00.0000, -2.379624454899314E+07,  1.444385873803442E+08, -6.238489078775048E+03, -2.984714602146267E+01, -5.016375708873402E+00, -1.710180200412692E-03,
2443509.500000000, A.D. 1978-Jan-01 00:00:00.0000, -2.637123807921768E+07,  1.439826520621328E+08, -6.392007111087441E+03, -2.975767306830661E+01, -5.537506060244055E+00, -1.835738746519322E-03,
2443510.500000000, A.D. 1978-Jan-02 00:00:00.0000, -2.893810784929073E+07,  1.434817383762768E+08, -6.554258987456560E+03, -2.965908119027415E+01, -6.057523291028302E+00, -1.911133527620734E-03,
2443511.500000000, A.D. 1978-Jan-03 00:00:00.0000, -3.149606184369972E+07,  1.429359475059076E+08, -6.720613096989691E+03, -2.955127104496974E+01, -6.576308157042789E+00, -1.929719495393556E-03,
2443512.500000000, A.D. 1978-Jan-04 00:00:00.0000, -3.404429854445968E+07,  1.423453919408839E+08, -6.885939425930381E+03, -2.943412200771660E+01, -7.093716255029053E+00, -1.886774054191687E-03,
2443513.500000000, A.D. 1978-Jan-05 00:00:00.0000, -3.658200516912223E+07,  1.417101982068707E+08, -7.044825837567449E+03, -2.930749498564401E+01, -7.609564554931455E+00, -1.780727814955974E-03,
2443514.500000000, A.D. 1978-Jan-06 00:00:00.0000, -3.910835648039305E+07,  1.410305108746800E+08, -7.191915862575173E+03, -2.917124350173163E+01, -8.123615846909765E+00, -1.614703165648379E-03,
2443515.500000000, A.D. 1978-Jan-07 00:00:00.0000, -4.162251502844768E+07,  1.403064978143373E+08, -7.322378013841808E+03, -2.902523601376752E+01, -8.635566737465465E+00, -1.397914135506273E-03,
2443516.500000000, A.D. 1978-Jan-08 00:00:00.0000, -4.412363377600918E+07,  1.395383560259223E+08, -7.432462735354900E+03, -2.886938791978558E+01, -9.145047824766355E+00, -1.146149054834567E-03,
2443517.500000000, A.D. 1978-Jan-09 00:00:00.0000, -4.661086161232337E+07,  1.387263166455754E+08, -7.520032061368227E+03, -2.870369431797706E+01, -9.651643358347055E+00, -8.805586126787723E-04,
