            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443392.500000000, A.D. 1977-Sep-06 00:00:00.0000,  1.050637367128080E+08,  7.547041739538817E+08, -5.461560816950202E+06, -1.309506864276027E+01,  2.403911075101174E+00,  2.833239250437281E-01,
2443393.500000000, A.D. 1977-Sep-07 00:00:00.0000,  1.039323266522771E+08,  7.549110715106008E+08, -5.437072503889680E+06, -1.309610268177973E+01,  2.386262418293372E+00,  2.835499013557540E-01,
2443394.500000000, A.D. 1977-Sep-08 00:00:00.0000,  1.028006339834864E+08,  7.551163891859332E+08, -5.412569274589419E+06, -1.309951406972880E+01,  2.366136165670203E+00,  2.836592024896053E-01,
2443395.500000000, A.D. 1977-Sep-09 00:00:00.0000,  1.016687086409681E+08,  7.553200573210374E+08, -5.388052206038177E+06, -1.310357287230929E+01,  2.347878192443548E+00,  2.838293710890397E-01,
2443396.500000000, A.D. 1977-Sep-10 00:00:00.0000,  1.005364353371722E+08,  7.555219401877495E+08, -5.363528130976558E+06, -1.310526022799724E+01,  2.326108399565069E+00,  2.839016433508178E-01,
2443397.500000000, A.D. 1977-Sep-11 00:00:00.0000,  9.940402024317290E+07,  7.557221335008955E+08, -5.338991126306295E+06, -1.310867932849372E+01,  2.307057773259352E+00,  2.840422315636943E-01,
2443398.500000000, A.D. 1977-Sep-12 00:00:00.0000,  9.827139454970852E+07,  7.559205553724527E+08, -5.314445001024365E+06, -1.310938623614695E+01,  2.287210025557002E+00,  2.841987589075305E-01,
2443399.500000000, A.D. 1977-Sep-13 00:00:00.0000,  9.713857770775609E+07,  7.561173432904637E+08, -5.289884593765795E+06, -1.311273485546270E+01,  2.266961654798473E+00,  2.842953797128499E-01,
2443400.500000000, A.D. 1977-Sep-14 00:00:00.0000,  9.600566124845694E+07,  7.563123924758073E+08, -5.265312971404552E+06, -1.311307335353823E+01,  2.249212212701663E+00,  2.845197078708090E-01,
2443401.500000000, A.D. 1977-Sep-15 00:00:00.0000,  9.487250520429723E+07,  7.565059035803914E+08, -5.240725074584842E+06, -1.311655735734309E+01,  2.229608932199861E+00,  2.846374096925286E-01,
2443402.500000000, A.D. 1977-Sep-16 00:00:00.0000,  9.373913069989753E+07,  7.566977842966431E+08, -5.216123172576368E+06, -1.312016784621541E+01,  2.211857383114170E+00,  2.848248946264534E-01,
2443403.500000000, A.D. 1977-Sep-17 00:00:00.0000,  9.260539207829830E+07,  7.568879303444691E+08, -5.191513283761978E+06, -1.312243049173676E+01,  2.190099724282196E+00,  2.848825498316724E-01,
2443404.500000000, A.D. 1977-Sep-18 00:00:00.0000,  9.147150930212994E+07,  7.570763800258927E+08, -5.166891326181412E+06, -1.312572941298594E+01,  2.171411827816617E+00,  2.850307668762472E-01,
2443405.500000000, A.D. 1977-Sep-19 00:00:00.0000,  9.033738645727642E+07,  7.572630668015656E+08, -5.142260996861756E+06, -1.312668026583173E+01,  2.151115753714536E+00,  2.851609391613360E-01,
2443406.500000000, A.D. 1977-Sep-20 00:00:00.0000,  8.920307875743987E+07,  7.574481091689563E+08, -5.117617184680223E+06, -1.313026556664117E+01,  2.131072117227765E+00,  2.852557719750705E-01,
2443407.500000000, A.D. 1977-Sep-21 00:00:00.0000,  8.806864573513269E+07,  7.576313768435245E+08, -5.092964334795475E+06, -1.313031734411526E+01,  2.112557382110956E+00,  2.854504903039031E-01,
2443408.500000000, A.D. 1977-Sep-22 00:00:00.0000,  8.693400394523114E+07,  7.578130892588636E+08, -5.068296001983523E+06, -1.313387827193688E+01,  2.092906840616842E+00,  2.855574073674026E-01,
2443409.500000000, A.D. 1977-Sep-23 00:00:00.0000,  8.579915961300851E+07,  7.579931348979071E+08, -5.043615384491563E+06, -1.313683629848739E+01,  2.074923646367003E+00,  2.857393586690320E-01,
2443410.500000000, A.D. 1977-Sep-24 00:00:00.0000,  8.466396727743368E+07,  7.581714491270189E+08, -5.018926991663814E+06, -1.313931733479991E+01,  2.052796301111592E+00,  2.857740423822888E-01,
2443411.500000000, A.D. 1977-Sep-25 00:00:00.0000,  8.352866473280422E+07,  7.583480214278988E+08, -4.994228262304664E+06, -1.314186785420447E+01,  2.034057996214916E+00,  2.859238219924940E-01,
2443412.500000000, A.D. 1977-Sep-26 00:00:00.0000,  8.239314780083014E+07,  7.585228246915790E+08, -4.969521706163406E+06, -1.314252507748774E+01,  2.013252299806017E+00,  2.860319767994757E-01,
2443413.500000000, A.D. 1977-Sep-27 00:00:00.0000,  8.125750735969384E+07,  7.586959698100419E+08, -4.944801909881711E+06, -1.314560014981843E+01,  1.993569918126963E+00,  2.861399323462107E-01,
2443414.500000000, A.D. 1977-Sep-28 00:00:00.0000,  8.012176454686862E+07,  7.588673322100544E+08, -4.920073687146544E+06, -1.314495409053036E+01,  1.974596658478476E+00,  2.863203173311029E-01,
2443415.500000000, A.D. 1977-Sep-29 00:00:00.0000,  7.898588580834928E+07,  7.590371551272640E+08, -4.895329128655255E+06, -1.314814041251912E+01,  1.955492937711407E+00,  2.864424977941707E-01,
2443416.500000000, A.D. 1977-Sep-30 00:00:00.0000,  7.784984012600492E+07,  7.592053272109377E+08, -4.870572007151127E+06, -1.315030338065974E+01,  1.937801079557251E+00,  2.866379410638732E-01,
2443417.500000000, A.D. 1977-Oct-01 00:00:00.0000,  7.671347227200747E+07,  7.593718279063549E+08, -4.845805274626791E+06, -1.315310331076261E+01,  1.916090839082664E+00,  2.866752026809992E-01,
2443418.500000000, A.D. 1977-Oct-02 00:00:00.0000,  7.557700383334960E+07,  7.595365940054573E+08, -4.821028466590881E+06, -1.315518756126881E+01,  1.897772279609533E+00,  2.868388654968793E-01,
2443419.500000000, A.D. 1977-Oct-03 00:00:00.0000,  7.444031374530227E+07,  7.596996310812243E+08, -4.796243219113946E+06, -1.315615279156216E+01,  1.876934286441649E+00,  2.869333442722991E-01,
