            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443392.500000000, A.D. 1977-Sep-06 00:00:00.0000, -1.124153590103706E+09, -4.388438851286917E+09,  1.162609911669848E+08,  5.231033217212897E+00, -1.318877162526621E+00, -9.402728738100463E-02,
2443393.500000000, A.D. 1977-Sep-07 00:00:00.0000, -1.123701660214558E+09, -4.388552794850124E+09,  1.162528721172903E+08,  5.230305622378220E+00, -1.318583668132091E+00, -9.379535374733450E-02,
2443394.500000000, A.D. 1977-Sep-08 00:00:00.0000, -1.123249779997839E+09, -4.388666681111279E+09,  1.162447965999444E+08,  5.230021995471255E+00, -1.317574386511101E+00, -9.312025520217621E-02,
2443395.500000000, A.D. 1977-Sep-09 00:00:00.0000, -1.122797885993341E+09, -4.388780464816168E+09,  1.162367727723932E+08,  5.230620697245043E+00, -1.316335074577577E+00, -9.271782558751362E-02,
2443396.500000000, A.D. 1977-Sep-10 00:00:00.0000, -1.122345916627507E+09, -4.388894158620142E+09,  1.162287538376887E+08,  5.231623947083428E+00, -1.315590287204979E+00, -9.302078095610583E-02,
2443397.500000000, A.D. 1977-Sep-11 00:00:00.0000, -1.121893876146218E+09, -4.389007819946766E+09,  1.162206866325843E+08,  5.232133907214332E+00, -1.315551122807879E+00, -9.372946057371156E-02,
2443398.500000000, A.D. 1977-Sep-12 00:00:00.0000, -1.121441830209440E+09, -4.389121491367658E+09,  1.162125668241003E+08,  5.231764847302760E+00, -1.315696085888612E+00, -9.412297584081469E-02,
2443399.500000000, A.D. 1977-Sep-13 00:00:00.0000, -1.120989837726896E+09, -4.389235156403108E+09,  1.162044434086089E+08,  5.231043587709078E+00, -1.315312482063263E+00, -9.380762585948021E-02,
2443400.500000000, A.D. 1977-Sep-14 00:00:00.0000, -1.120537889699470E+09, -4.389348756627958E+09,  1.161963678427742E+08,  5.230862601462146E+00, -1.314236364121172E+00, -9.312571074364606E-02,
2443401.500000000, A.D. 1977-Sep-15 00:00:00.0000, -1.120085918566856E+09, -4.389462252330880E+09,  1.161883406156964E+08,  5.231553331831718E+00, -1.313022788689392E+00, -9.280013296584816E-02,
2443402.500000000, A.D. 1977-Sep-16 00:00:00.0000, -1.119633868359134E+09, -4.389575663742968E+09,  1.161803107419305E+08,  5.232542105730336E+00, -1.312369497034052E+00, -9.318380956457567E-02,
2443403.500000000, A.D. 1977-Sep-17 00:00:00.0000, -1.119181752811339E+09, -4.389689050030881E+09,  1.161722286983602E+08,  5.232945772618144E+00, -1.312392502304917E+00, -9.389326548633420E-02,
2443404.500000000, A.D. 1977-Sep-18 00:00:00.0000, -1.118729641106085E+09, -4.389802447867399E+09,  1.161640978409705E+08,  5.232488609455554E+00, -1.312505673687778E+00, -9.420679940515281E-02,
2443405.500000000, A.D. 1977-Sep-19 00:00:00.0000, -1.118277586052398E+09, -4.389915833355919E+09,  1.161559709215000E+08,  5.231788566559548E+00, -1.312029226507943E+00, -9.381374221952105E-02,
2443406.500000000, A.D. 1977-Sep-20 00:00:00.0000, -1.117825569260228E+09, -4.390029146836861E+09,  1.161478953186893E+08,  5.231715742090447E+00, -1.310895520092084E+00, -9.313707360943280E-02,
2443407.500000000, A.D. 1977-Sep-21 00:00:00.0000, -1.117373520239187E+09, -4.390142354829069E+09,  1.161398638444495E+08,  5.232488931325038E+00, -1.309719309087716E+00, -9.289424051912265E-02,
2443408.500000000, A.D. 1977-Sep-22 00:00:00.0000, -1.116921389591776E+09, -4.390255484789448E+09,  1.161318222081480E+08,  5.233448503585561E+00, -1.309159449662978E+00, -9.335224287253985E-02,
2443409.500000000, A.D. 1977-Sep-23 00:00:00.0000, -1.116469200303910E+09, -4.390368596604262E+09,  1.161237253848293E+08,  5.233741285427318E+00, -1.309234859730310E+00, -9.405043238657745E-02,
2443410.500000000, A.D. 1977-Sep-24 00:00:00.0000, -1.116017023883272E+09, -4.390481720412819E+09,  1.161155843617201E+08,  5.233206327493234E+00, -1.309304911248409E+00, -9.427879769865666E-02,
2443411.500000000, A.D. 1977-Sep-25 00:00:00.0000, -1.115564906124088E+09, -4.390594825314673E+09,  1.161074547321105E+08,  5.232542009387869E+00, -1.308734490443019E+00, -9.381508822703322E-02,
2443412.500000000, A.D. 1977-Sep-26 00:00:00.0000, -1.115112819564419E+09, -4.390707851448073E+09,  1.160993789756973E+08,  5.232580990286971E+00, -1.307553437513990E+00, -9.315563837251489E-02,
2443413.500000000, A.D. 1977-Sep-27 00:00:00.0000, -1.114660692004325E+09, -4.390820772141288E+09,  1.160913423515382E+08,  5.233425635065079E+00, -1.306425570662006E+00, -9.300000836122785E-02,
2443414.500000000, A.D. 1977-Sep-28 00:00:00.0000, -1.114208481473686E+09, -4.390933621602320E+09,  1.160832882041960E+08,  5.234341780733579E+00, -1.305959461024719E+00, -9.352465198399457E-02,
2443415.500000000, A.D. 1977-Sep-29 00:00:00.0000, -1.113756219811019E+09, -4.391046459400908E+09,  1.160751767872369E+08,  5.234520998223283E+00, -1.306076603061853E+00, -9.419972652479958E-02,
2443416.500000000, A.D. 1977-Sep-30 00:00:00.0000, -1.113303979611022E+09, -4.391159308621298E+09,  1.160670265290048E+08,  5.233919893539440E+00, -1.306092950154348E+00, -9.433921019111174E-02,
2443417.500000000, A.D. 1977-Oct-01 00:00:00.0000, -1.112851798860819E+09, -4.391272131893530E+09,  1.160588949013505E+08,  5.233305182662274E+00, -1.305429051010294E+00, -9.381312853489115E-02,
2443418.500000000, A.D. 1977-Oct-02 00:00:00.0000, -1.112399641502414E+09, -4.391384870189247E+09,  1.160508187486963E+08,  5.233457669749532E+00, -1.304211712135463E+00, -9.318257175798356E-02,
2443419.500000000, A.D. 1977-Oct-03 00:00:00.0000, -1.111947434876549E+09, -4.391497504107864E+09,  1.160427760323009E+08,  5.234361525002758E+00, -1.303142332320675E+00, -9.311709345973662E-02,
2443420.500000000, A.D. 1977-Oct-04 00:00:00.0000, -1.111495145166775E+09, -4.391610074016713E+09,  1.160347087135313E+08,  5.235220765681046E+00, -1.302768667681315E+00, -9.369953977905704E-02,
2443421.500000000, A.D. 1977-Oct-05 00:00:00.0000, -1.111042812512594E+09, -4.391722638138519E+09,  1.160265830131674E+08,  5.235285701110794E+00, -1.302916144881668E+00, -9.434005117572103E-02,
2443422.500000000, A.D. 1977-Oct-06 00:00:00.0000, -1.110590509339162E+09, -4.391835212102817E+09,  1.160184244818568E+08,  5.234631237807487E+00, -1.302869130615063E+00, -9.438848090436081E-02,
2443423.500000000, A.D. 1977-Oct-07 00:00:00.0000, -1.110138265169063E+09, -4.391947752716368E+09,  1.160102914742649E+08,  5.234079152017847E+00, -1.302113863145259E+00, -9.380938747963141E-02,
2443424.500000000, A.D. 1977-Oct-08 00:00:00.0000, -1.109686035973187E+09, -4.392060202805580E+09,  1.160022145609276E+08,  5.234344876514232E+00, -1.300871924686851E+00, -9.321889787518950E-02,
2443425.500000000, A.D. 1977-Oct-09 00:00:00.0000, -1.109233749890858E+09, -4.392172550576694E+09,  1.159941647869227E+08,  5.235294666431967E+00, -1.299870160928449E+00, -9.324495695238799E-02,
2443426.500000000, A.D. 1977-Oct-10 00:00:00.0000, -1.108781381844463E+09, -4.392284841858275E+09,  1.159860837358327E+08,  5.236084504290651E+00, -1.299586034602654E+00, -9.387536478341790E-02,
2443427.500000000, A.D. 1977-Oct-11 00:00:00.0000, -1.108328979579279E+09, -4.392397132518627E+09,  1.159779441812222E+08,  5.236036411173050E+00, -1.299751923536817E+00, -9.447046230183520E-02,
2443428.500000000, A.D. 1977-Oct-12 00:00:00.0000, -1.107876614097122E+09, -4.392509430461975E+09,  1.159697783535938E+08,  5.235342294134472E+00, -1.299632984605789E+00, -9.442724211367254E-02,
2443429.500000000, A.D. 1977-Oct-13 00:00:00.0000, -1.107424305945469E+09, -4.392621687418835E+09,  1.159616444794915E+08,  5.234864759546780E+00, -1.298790039304648E+00, -9.380541662263941E-02,
2443430.500000000, A.D. 1977-Oct-14 00:00:00.0000, -1.106972003886710E+09, -4.392733849059514E+09,  1.159535663256152E+08,  5.235241485191936E+00, -1.297535612569637E+00, -9.326547422441950E-02,
2443431.500000000, A.D. 1977-Oct-15 00:00:00.0000, -1.106519638103008E+09, -4.392845911401411E+09,  1.159455085222280E+08,  5.236223133893727E+00, -1.296609423716478E+00, -9.338287134098516E-02,
2443432.500000000, A.D. 1977-Oct-16 00:00:00.0000, -1.106067192689319E+09, -4.392957924941478E+09,  1.159374132873094E+08,  5.236932266967005E+00, -1.296410379506662E+00, -9.405056884485818E-02,
2443433.500000000, A.D. 1977-Oct-17 00:00:00.0000, -1.105614722169817E+09, -4.393069942227121E+09,  1.159292604190347E+08,  5.236774350828720E+00, -1.296582436370434E+00, -9.459018864511765E-02,
2443434.500000000, A.D. 1977-Oct-18 00:00:00.0000, -1.105162294894058E+09, -4.393181963300129E+09,  1.159210882698209E+08,  5.236054965940339E+00, -1.296384252786518E+00, -9.445631159369428E-02,
2443435.500000000, A.D. 1977-Oct-19 00:00:00.0000, -1.104709922078974E+09, -4.393293935649703E+09,  1.159129539291210E+08,  5.235662612623329E+00, -1.295458834663500E+00, -9.380277404867282E-02,
2443436.500000000, A.D. 1977-Oct-20 00:00:00.0000, -1.104257546166159E+09, -4.393405808730128E+09,  1.159048739477901E+08,  5.236146177262477E+00, -1.294204245369772E+00, -9.332298380025278E-02,
2443437.500000000, A.D. 1977-Oct-21 00:00:00.0000, -1.103805100589157E+09, -4.393517586438952E+09,  1.158968071538525E+08,  5.237145052047824E+00, -1.293360280524615E+00, -9.352993595047099E-02,
