            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443392.500000000, A.D. 1977-Sep-06 00:00:00.0000, -1.075802627816389E+09,  8.531663131082821E+08,  2.782827353628099E+07, -6.522249361168632E+00, -7.594117963063859E+00,  3.924620613816194E-01,
2443393.500000000, A.D. 1977-Sep-07 00:00:00.0000, -1.076365929668248E+09,  8.525100337026261E+08,  2.786216751608068E+07, -6.517172045767419E+00, -7.597526544363411E+00,  3.921198007209297E-01,
2443394.500000000, A.D. 1977-Sep-08 00:00:00.0000, -1.076928799588756E+09,  8.518534637381988E+08,  2.789603063755620E+07, -6.512270004159291E+00, -7.600836242875183E+00,  3.917448082514712E-01,
2443395.500000000, A.D. 1977-Sep-09 00:00:00.0000, -1.077491256202088E+09,  8.511966080355899E+08,  2.792986232352817E+07, -6.507580292713273E+00, -7.604156130077756E+00,  3.913981672563351E-01,
2443396.500000000, A.D. 1977-Sep-10 00:00:00.0000, -1.078053316310472E+09,  8.505394646222680E+08,  2.796366539340252E+07, -6.503108747294553E+00, -7.607525336513724E+00,  3.910988165290465E-01,
2443397.500000000, A.D. 1977-Sep-11 00:00:00.0000, -1.078614994373137E+09,  8.498820214007101E+08,  2.799744765300500E+07, -6.498681003917418E+00, -7.611081691982172E+00,  3.909038682402444E-01,
2443398.500000000, A.D. 1977-Sep-12 00:00:00.0000, -1.079176289651317E+09,  8.492242710426298E+08,  2.803121299782151E+07, -6.494311983817078E+00, -7.614626863797275E+00,  3.907090006307659E-01,
2443399.500000000, A.D. 1977-Sep-13 00:00:00.0000, -1.079737215066365E+09,  8.485662066697862E+08,  2.806496636241478E+07, -6.490061928332121E+00, -7.618379666349407E+00,  3.906361836539696E-01,
2443400.500000000, A.D. 1977-Sep-14 00:00:00.0000, -1.080297771347934E+09,  8.479078101943771E+08,  2.809871732449007E+07, -6.485767261531356E+00, -7.622317878917443E+00,  3.906552818637108E-01,
2443401.500000000, A.D. 1977-Sep-15 00:00:00.0000, -1.080857950184122E+09,  8.472490655198209E+08,  2.813247354460984E+07, -6.481309646740502E+00, -7.626414086472078E+00,  3.907428552185697E-01,
