            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443392.500000000, A.D. 1977-Sep-06 00:00:00.0000,  3.553089007353653E+05, -6.578222468037431E+05, -9.616346421067865E+03,  1.396839231416364E-02,  6.359990357382163E-05, -3.804134588186906E-04,
2443393.500000000, A.D. 1977-Sep-07 00:00:00.0000,  3.565159286543616E+05, -6.578158210810303E+05, -9.649220808937564E+03,  1.397205876853308E-02,  8.515697591291403E-05, -3.805668167599669E-04,
2443394.500000000, A.D. 1977-Sep-08 00:00:00.0000,  3.577232707224887E+05, -6.578075293346491E+05, -9.682108198765025E+03,  1.397566380768971E-02,  1.067954348036556E-04, -3.807143300234999E-04,
2443395.500000000, A.D. 1977-Sep-09 00:00:00.0000,  3.589309214989933E+05, -6.577973643896675E+05, -9.715008058322710E+03,  1.397920418874480E-02,  1.285186282891336E-04, -3.808553526289150E-04,
2443396.500000000, A.D. 1977-Sep-10 00:00:00.0000,  3.601388752272488E+05, -6.577853187750462E+05, -9.747919795611699E+03,  1.398267581989754E-02,  1.503300376267781E-04, -3.809891469263469E-04,
2443397.500000000, A.D. 1977-Sep-11 00:00:00.0000,  3.613471257556664E+05, -6.577713847187506E+05, -9.780842750958516E+03,  1.398607362953825E-02,  1.722331212280417E-04, -3.811148844024767E-04,
2443398.500000000, A.D. 1977-Sep-12 00:00:00.0000,  3.625556664479154E+05, -6.577555541575215E+05, -9.813776189334167E+03,  1.398939145108040E-02,  1.942311267440633E-04, -3.812316505360373E-04,
2443399.500000000, A.D. 1977-Sep-13 00:00:00.0000,  3.637644900843162E+05, -6.577378187650135E+05, -9.846719293370697E+03,  1.399262193668700E-02,  2.163268519523932E-04, -3.813384564909616E-04,
2443400.500000000, A.D. 1977-Sep-14 00:00:00.0000,  3.649735887577372E+05, -6.577181700029785E+05, -9.879671157761768E+03,  1.399575652004744E-02,  2.385223511275717E-04, -3.814342597687367E-04,
2443401.500000000, A.D. 1977-Sep-15 00:00:00.0000,  3.661829537692259E+05, -6.576965991998428E+05, -9.912630785885151E+03,  1.399878545134206E-02,  2.608185972111485E-04, -3.815179951022459E-04,
