            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443392.500000000, A.D. 1977-Sep-06 00:00:00.0000, -2.076495887886030E+09, -1.850092591417567E+09,  2.007281546493959E+07,  4.479405179215425E+00, -5.402828134887624E+00, -7.805646071741079E-02,
2443393.500000000, A.D. 1977-Sep-07 00:00:00.0000, -2.076108816557893E+09, -1.850559353076256E+09,  2.006607591219938E+07,  4.480617544564439E+00, -5.401846327591619E+00, -7.794311007030430E-02,
2443394.500000000, A.D. 1977-Sep-08 00:00:00.0000, -2.075721631686880E+09, -1.851026032680782E+09,  2.005934006442356E+07,  4.481974344713946E+00, -5.400928159484423E+00, -7.805473044294819E-02,
2443395.500000000, A.D. 1977-Sep-09 00:00:00.0000, -2.075334344388958E+09, -1.851492630819856E+09,  2.005258612840521E+07,  4.482973620670753E+00, -5.399936681409613E+00, -7.820782465744358E-02,
2443396.500000000, A.D. 1977-Sep-10 00:00:00.0000, -2.074946965121327E+09, -1.851959142568400E+09,  2.004583329068124E+07,  4.484199712991610E+00, -5.398964741989029E+00, -7.814667406182707E-02,
2443397.500000000, A.D. 1977-Sep-11 00:00:00.0000, -2.074559475974117E+09, -1.852425573456075E+09,  2.003906992434371E+07,  4.485373860697430E+00, -5.398034009316938E+00, -7.845717942257857E-02,
2443398.500000000, A.D. 1977-Sep-12 00:00:00.0000, -2.074171904468386E+09, -1.852891919029423E+09,  2.003228434785616E+07,  4.486207758812366E+00, -5.396995475739281E+00, -7.853259310244121E-02,
2443399.500000000, A.D. 1977-Sep-13 00:00:00.0000, -2.073784251584426E+09, -1.853358175605799E+09,  2.002550139097536E+07,  4.487239851883139E+00, -5.395985108676389E+00, -7.850770894382419E-02,
2443400.500000000, A.D. 1977-Sep-14 00:00:00.0000, -2.073396513519627E+09, -1.853824344236357E+09,  2.001871941682756E+07,  4.488170043394569E+00, -5.394945895327062E+00, -7.843267621133188E-02,
2443401.500000000, A.D. 1977-Sep-15 00:00:00.0000, -2.073008686244950E+09, -1.854290423434148E+09,  2.001195515829730E+07,  4.489397643855186E+00, -5.393948785790377E+00, -7.818843889715810E-02,
2443402.500000000, A.D. 1977-Sep-16 00:00:00.0000, -2.072620746851728E+09, -1.854756420259212E+09,  2.000519387580073E+07,  4.490597479190567E+00, -5.393000600052732E+00, -7.834781950059599E-02,
2443403.500000000, A.D. 1977-Sep-17 00:00:00.0000, -2.072232718342742E+09, -1.855222331102745E+09,  1.999842533495104E+07,  4.491574273258832E+00, -5.391969288855010E+00, -7.826345461837136E-02,
2443404.500000000, A.D. 1977-Sep-18 00:00:00.0000, -2.071844590673823E+09, -1.855688155273725E+09,  1.999167012197316E+07,  4.492894205070030E+00, -5.391015488952202E+00, -7.818836743222413E-02,
2443405.500000000, A.D. 1977-Sep-19 00:00:00.0000, -2.071456354983061E+09, -1.856153897754612E+09,  1.998490628831434E+07,  4.493993787520814E+00, -5.390045664277668E+00, -7.834819965499085E-02,
2443406.500000000, A.D. 1977-Sep-20 00:00:00.0000, -2.071068026945908E+09, -1.856619554684538E+09,  1.997813695472240E+07,  4.495108537215448E+00, -5.389056994786216E+00, -7.835744690924717E-02,
2443407.500000000, A.D. 1977-Sep-21 00:00:00.0000, -2.070679601825095E+09, -1.857085127325489E+09,  1.997136024464524E+07,  4.496149102894409E+00, -5.388074048124730E+00, -7.852174866447115E-02,
2443408.500000000, A.D. 1977-Sep-22 00:00:00.0000, -2.070291097841229E+09, -1.857550611009309E+09,  1.996458062719810E+07,  4.497066701681526E+00, -5.387015490467188E+00, -7.833471754033750E-02,
2443409.500000000, A.D. 1977-Sep-23 00:00:00.0000, -2.069902494199868E+09, -1.858016007163184E+09,  1.995782064278758E+07,  4.498411640260855E+00, -5.386060933291777E+00, -7.822968340398262E-02,
2443410.500000000, A.D. 1977-Sep-24 00:00:00.0000, -2.069513780466873E+09, -1.858481321910768E+09,  1.995105281663239E+07,  4.499517567178517E+00, -5.385094027075367E+00, -7.841239197752103E-02,
2443411.500000000, A.D. 1977-Sep-25 00:00:00.0000, -2.069124977003491E+09, -1.858946550150376E+09,  1.994428144022608E+07,  4.500629083675741E+00, -5.384091839782940E+00, -7.832725442524091E-02,
2443412.500000000, A.D. 1977-Sep-26 00:00:00.0000, -2.068736069554494E+09, -1.859411694579913E+09,  1.993750950625122E+07,  4.501814763460838E+00, -5.383135353794798E+00, -7.845737290142352E-02,
2443413.500000000, A.D. 1977-Sep-27 00:00:00.0000, -2.068347068749238E+09, -1.859876754216604E+09,  1.993072764024210E+07,  4.502847885768272E+00, -5.382130994430637E+00, -7.848758303767189E-02,
2443414.500000000, A.D. 1977-Sep-28 00:00:00.0000, -2.067957969808823E+09, -1.860341728887662E+09,  1.992394447712338E+07,  4.504065249794022E+00, -5.381180589067141E+00, -7.861073588670719E-02,
2443415.500000000, A.D. 1977-Sep-29 00:00:00.0000, -2.067568780715292E+09, -1.860806619538571E+09,  1.991714021494758E+07,  4.504875458763381E+00, -5.380152094426538E+00, -7.881647664530189E-02,
2443416.500000000, A.D. 1977-Sep-30 00:00:00.0000, -2.067179523455540E+09, -1.861271417793132E+09,  1.991034031445301E+07,  4.505794634708601E+00, -5.379080459501471E+00, -7.855030330971768E-02,
2443417.500000000, A.D. 1977-Oct-01 00:00:00.0000, -2.066790169297150E+09, -1.861736127926534E+09,  1.990355924741948E+07,  4.507006042334541E+00, -5.378100770916179E+00, -7.848297014416561E-02,
2443418.500000000, A.D. 1977-Oct-02 00:00:00.0000, -2.066400719348339E+09, -1.862200751852307E+09,  1.989678116745019E+07,  4.508064178256332E+00, -5.377081702641156E+00, -7.837057166449868E-02,
2443419.500000000, A.D. 1977-Oct-03 00:00:00.0000, -2.066011168035940E+09, -1.862665289448678E+09,  1.989001553315771E+07,  4.509344607403571E+00, -5.376114734142245E+00, -7.829048293047447E-02,
2443420.500000000, A.D. 1977-Oct-04 00:00:00.0000, -2.065621510545554E+09, -1.863129743989331E+09,  1.988324652920961E+07,  4.510452864011026E+00, -5.375131561350922E+00, -7.836730875094355E-02,
2443421.500000000, A.D. 1977-Oct-05 00:00:00.0000, -2.065231756385880E+09, -1.863594112177006E+09,  1.987648282764673E+07,  4.511718771025802E+00, -5.374153340170062E+00, -7.822321798188381E-02,
2443422.500000000, A.D. 1977-Oct-06 00:00:00.0000, -2.064841883456587E+09, -1.864058400178748E+09,  1.986971481601703E+07,  4.513046572949801E+00, -5.373248785842978E+00, -7.851256580120403E-02,
2443423.500000000, A.D. 1977-Oct-07 00:00:00.0000, -2.064451917098163E+09, -1.864522605844740E+09,  1.986291812432182E+07,  4.513918714940917E+00, -5.372233176868734E+00, -7.873018685591160E-02,
2443424.500000000, A.D. 1977-Oct-08 00:00:00.0000, -2.064061870559194E+09, -1.864986722699461E+09,  1.985611826079166E+07,  4.514972353303866E+00, -5.371224532067239E+00, -7.870924284546477E-02,
2443425.500000000, A.D. 1977-Oct-09 00:00:00.0000, -2.063671734371912E+09, -1.865450752969752E+09,  1.984931380610061E+07,  4.515927914716579E+00, -5.370205887050863E+00, -7.876766732088147E-02,
2443426.500000000, A.D. 1977-Oct-10 00:00:00.0000, -2.063281515022643E+09, -1.865914693811734E+09,  1.984251495380676E+07,  4.516990697445577E+00, -5.369178366617635E+00, -7.860214596435466E-02,
2443427.500000000, A.D. 1977-Oct-11 00:00:00.0000, -2.062891193737614E+09, -1.866378549364952E+09,  1.983572150668848E+07,  4.518161443787522E+00, -5.368211884625422E+00, -7.870802038555302E-02,
2443428.500000000, A.D. 1977-Oct-12 00:00:00.0000, -2.062500786544036E+09, -1.866842317720355E+09,  1.982892160882032E+07,  4.519067449201113E+00, -5.367160509562562E+00, -7.861491837427570E-02,
2443429.500000000, A.D. 1977-Oct-13 00:00:00.0000, -2.062110286009456E+09, -1.867305997004644E+09,  1.982214030515790E+07,  4.520362557083933E+00, -5.366179729764606E+00, -7.841924150813551E-02,
2443430.500000000, A.D. 1977-Oct-14 00:00:00.0000, -2.061719671463678E+09, -1.867769594665765E+09,  1.981535688392007E+07,  4.521557799807416E+00, -5.365230894959891E+00, -7.861575761091677E-02,
2443431.500000000, A.D. 1977-Oct-15 00:00:00.0000, -2.061328964531021E+09, -1.868233107069390E+09,  1.980856327136016E+07,  4.522618535244964E+00, -5.364227533326367E+00, -7.862867705630427E-02,
2443432.500000000, A.D. 1977-Oct-16 00:00:00.0000, -2.060938161708607E+09, -1.868696534057857E+09,  1.980176567047501E+07,  4.523708225091129E+00, -5.363245140321500E+00, -7.874704589683157E-02,
