            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443392.500000000, A.D. 1977-Sep-06 00:00:00.0000,  1.451559148454779E+08, -4.285835857828943E+07,  1.595353444434702E+04,  1.158587716438512E+01,  3.813754724695271E+01,  7.301363070562683E-01,
2443393.500000000, A.D. 1977-Sep-07 00:00:00.0000,  1.461340437843431E+08, -3.956133339877363E+07,  7.845461138951406E+04,  1.106941634906421E+01,  3.820593266768923E+01,  7.213885047394353E-01,
2443394.500000000, A.D. 1977-Sep-08 00:00:00.0000,  1.470691508791649E+08, -3.625549255528693E+07,  1.407210211551879E+05,  1.057701745588153E+01,  3.831836203669543E+01,  7.200890000394455E-01,
2443395.500000000, A.D. 1977-Sep-09 00:00:00.0000,  1.479617660156522E+08, -3.294006107517820E+07,  2.028941130504459E+05,  1.008529324533252E+01,  3.842641632616418E+01,  7.191114971704717E-01,
2443396.500000000, A.D. 1977-Sep-10 00:00:00.0000,  1.488118695021768E+08, -2.961567236146306E+07,  2.649822765781768E+05,  9.592903477308406E+00,  3.852536444316439E+01,  7.180979646715073E-01,
2443397.500000000, A.D. 1977-Sep-11 00:00:00.0000,  1.496194007043842E+08, -2.628317719782140E+07,  3.269777304562852E+05,  9.099860817034150E+00,  3.861394884283415E+01,  7.169571721279890E-01,
2443398.500000000, A.D. 1977-Sep-12 00:00:00.0000,  1.503843154051026E+08, -2.294349413048864E+07,  3.888678558490612E+05,  8.606472006650360E+00,  3.869170361993320E+01,  7.156565280554137E-01,
2443399.500000000, A.D. 1977-Sep-13 00:00:00.0000,  1.511066005610789E+08, -1.959756827482901E+07,  4.506381868551001E+05,  8.113136060801070E+00,  3.875843935064279E+01,  7.141828104992243E-01,
2443400.500000000, A.D. 1977-Sep-14 00:00:00.0000,  1.517869234435376E+08, -1.624595920752058E+07,  5.122301758295400E+05,  7.632825761034844E+00,  3.882179879770591E+01,  7.116873594601891E-01,
2443401.500000000, A.D. 1977-Sep-15 00:00:00.0000,  1.524251404899254E+08, -1.288975029011275E+07,  5.736421559233805E+05,  7.140909725542693E+00,  3.886638078752785E+01,  7.098564588147926E-01,
2443402.500000000, A.D. 1977-Sep-16 00:00:00.0000,  1.530209123207039E+08, -9.530165784201095E+06,  6.348882473027585E+05,  6.650371151341856E+00,  3.889995092450119E+01,  7.078476657648860E-01,
2443403.500000000, A.D. 1977-Sep-17 00:00:00.0000,  1.535743769051341E+08, -6.168153113304165E+06,  6.959531812922808E+05,  6.161647547133934E+00,  3.892260739039747E+01,  7.056635122682078E-01,
2443404.500000000, A.D. 1977-Sep-18 00:00:00.0000,  1.540857096296295E+08, -2.804649854270945E+06,  7.568219515521073E+05,  5.675167041236295E+00,  3.893447906720148E+01,  7.033074830937114E-01,
2443405.500000000, A.D. 1977-Sep-19 00:00:00.0000,  1.545551223701396E+08,  5.594187170856870E+05,  8.174798840605912E+05,  5.191345802036281E+00,  3.893572122551389E+01,  7.007837520424154E-01,
