t (s)	V (volts)
0.000E+00	0.000E+00
5.005E-06	2.044E-02
1.001E-05	4.088E-02
1.502E-05	6.130E-02
2.002E-05	8.171E-02
2.503E-05	1.021E-01
3.003E-05	1.225E-01
3.504E-05	1.428E-01
4.004E-05	1.631E-01
4.505E-05	1.834E-01
5.005E-05	2.036E-01
5.506E-05	2.238E-01
6.006E-05	2.439E-01
6.507E-05	2.639E-01
7.007E-05	2.839E-01
7.508E-05	3.039E-01
8.008E-05	3.237E-01
8.509E-05	3.435E-01
9.009E-05	3.632E-01
9.510E-05	3.828E-01
1.001E-04	4.023E-01
1.051E-04	4.217E-01
1.101E-04	4.410E-01
1.151E-04	4.603E-01
1.201E-04	4.794E-01
1.251E-04	4.983E-01
1.301E-04	5.172E-01
1.351E-04	5.360E-01
1.401E-04	5.546E-01
1.451E-04	5.731E-01
1.502E-04	5.914E-01
1.552E-04	6.096E-01
1.602E-04	6.277E-01
1.652E-04	6.456E-01
1.702E-04	6.633E-01
1.752E-04	6.809E-01
1.802E-04	6.984E-01
1.852E-04	7.156E-01
1.902E-04	7.327E-01
1.952E-04	7.497E-01
2.002E-04	7.664E-01
2.052E-04	7.830E-01
2.102E-04	7.994E-01
2.152E-04	8.156E-01
2.202E-04	8.316E-01
2.252E-04	8.474E-01
2.302E-04	8.630E-01
2.352E-04	8.784E-01
2.402E-04	8.936E-01
2.452E-04	9.086E-01
2.503E-04	9.233E-01
2.553E-04	9.379E-01
2.603E-04	9.522E-01
2.653E-04	9.663E-01
2.703E-04	9.802E-01
2.753E-04	9.939E-01
2.803E-04	1.007E+00
2.853E-04	1.020E+00
2.903E-04	1.033E+00
2.953E-04	1.046E+00
3.003E-04	1.059E+00
3.053E-04	1.071E+00
3.103E-04	1.083E+00
3.153E-04	1.095E+00
3.203E-04	1.106E+00
3.253E-04	1.117E+00
3.303E-04	1.128E+00
3.353E-04	1.139E+00
3.403E-04	1.149E+00
3.453E-04	1.159E+00
3.504E-04	1.169E+00
3.554E-04	1.179E+00
3.604E-04	1.188E+00
3.654E-04	1.197E+00
3.704E-04	1.206E+00
3.754E-04	1.215E+00
3.804E-04	1.223E+00
3.854E-04	1.231E+00
3.904E-04	1.239E+00
3.954E-04	1.246E+00
4.004E-04	1.253E+00
4.054E-04	1.260E+00
4.104E-04	1.267E+00
4.154E-04	1.273E+00
4.204E-04	1.279E+00
4.254E-04	1.285E+00
4.304E-04	1.290E+00
4.354E-04	1.295E+00
